date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:17:47	1054261/1054261	---MCZ	200	added ('OK')	text/html	etag:%2233383-1736866158;gz%22	https://i9digitalmarketing.com/	C:/website%20development%203/i9digitalmarketing.com/index.html	(from )
21:17:47	116/116	---M-Z	200	added ('OK')	text/plain	etag:%2233384-1736866460;gz%22	https://i9digitalmarketing.com/robots.txt		(from )
21:17:48	39518/39518	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Jan%202025%2015:47:47%20GMT	https://i9digitalmarketing.com/e,baseURI	C:/website%20development%203/i9digitalmarketing.com/e,baseURI	(from https://i9digitalmarketing.com/)
21:17:49	39518/39518	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Jan%202025%2015:47:47%20GMT	https://i9digitalmarketing.com/GET	C:/website%20development%203/i9digitalmarketing.com/GET	(from https://i9digitalmarketing.com/)
21:17:49	39518/39518	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Jan%202025%2015:47:48%20GMT	https://i9digitalmarketing.com/Edge/	C:/website%20development%203/i9digitalmarketing.com/Edge/index.html	(from https://i9digitalmarketing.com/)
21:17:49	134547/134547	---MCZ	200	added ('OK')	application/json	etag:%2233393-1736869667;gz%22	https://i9digitalmarketing.com/wp-json/wp/v2/pages/13	C:/website%20development%203/i9digitalmarketing.com/wp-json/wp/v2/pages/13.json	(from https://i9digitalmarketing.com/)
21:17:50	1998/1998	---M-Z	200	added ('OK')	application/rss+xml	etag:%22cfd65ebbc45549f615a7ef41afd4d9f4%22	https://i9digitalmarketing.com/feed/	C:/website%20development%203/i9digitalmarketing.com/feed/index.html	(from https://i9digitalmarketing.com/)
21:17:50	846/846	---M-Z	200	added ('OK')	text/xml	etag:%2233394-1736869668;gz%22	https://i9digitalmarketing.com/xmlrpc.php?rsd	C:/website%20development%203/i9digitalmarketing.com/xmlrpc0db0.php	(from https://i9digitalmarketing.com/)
21:17:50	1699/1699	---M-Z	200	added ('OK')	application/rss+xml	etag:%22cfd65ebbc45549f615a7ef41afd4d9f4%22	https://i9digitalmarketing.com/comments/feed/	C:/website%20development%203/i9digitalmarketing.com/comments/feed/index.html	(from https://i9digitalmarketing.com/)
21:17:50	1980/1980	---M-Z	200	added ('OK')	application/json	etag:%2233395-1736869668;gz%22	https://i9digitalmarketing.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fi9digitalmarketing.com%2F	C:/website%20development%203/i9digitalmarketing.com/wp-json/oembed/1.0/embed2fa9.json	(from https://i9digitalmarketing.com/)
